Time Step,Stress Ratio,Stress Ratio Change
891,0.32277125,8.75E-06
892,0.322776917,5.67E-06
893,0.322782917,6.00E-06
894,0.322792,9.08E-06
895,0.322798,6.00E-06
896,0.322803167,5.17E-06
897,0.322810917,7.75E-06
898,0.3228145,3.58E-06
899,0.322821583,7.08E-06
900,0.322829083,7.50E-06
901,0.32283275,3.67E-06
902,0.322840917,8.17E-06
903,0.322849667,8.75E-06
904,0.322851333,1.67E-06
905,0.322857917,6.58E-06
906,0.322867083,9.17E-06
907,0.322869833,2.75E-06
908,0.322877083,7.25E-06
909,0.3228835,6.42E-06
910,0.322887667,4.17E-06
911,0.322894833,7.17E-06
912,0.322902083,7.25E-06
913,0.322905083,3.00E-06
914,0.32291425,9.17E-06
915,0.32292025,6.00E-06
916,0.32292125,10.00E-07
917,0.322933583,1.23E-05
918,0.322937167,3.58E-06
919,0.322937,-1.67E-07
920,0.322945583,8.58E-06
921,0.322950417,4.83E-06
922,0.322952417,2.00E-06
923,0.322961833,9.42E-06
924,0.32296575,3.92E-06
925,0.322967333,1.58E-06
926,0.322975333,8.00E-06
927,0.3229705,-4.83E-06
928,0.32239675,-0.00057375
929,0.321889583,-0.000507167
930,0.32172425,-0.000165333
931,0.321817,9.28E-05
